Comment,Designator,Footprint
1 uF,"C1,C2,C3,C5,C7,C8,C10,C17,C21,C24,C25,C26,C27,C28,C30,C31,C41,C42,C46,C48,C49,C50,C52,C53,C58,C59,C60,C62,C66,C68,C69,C71,C72,C73,C75,C77,C78,C79,C82,C83,C84,C85,C86,C87,C88,C89,C90,C92,C93,C94,C95,C97,C98,C100,C106,C123,C139,C141,C142,C148,C149,C150,C156,C159,C160,C161,C174,C176,C177,C178,C179,C183,C185,C187,C189,C190,C191,C192,C193,C194,C195,C196,C202,C203,C205,C206,C207,C208,C210,C211,C212",C_0201
3.3 nF,"C4,C6,C9,C11,C16,C18,C19,C20,C29,C55,C57,C63,C65",C_0201
330 pF,"C12,C13,C151,C152",C_0201
8.2 pF,C14,C_0201
180 pF,"C15,C74,C76,C107,C108",C_0201
1 uF,"C22,C23,C32,C33,C39,C40,C43,C64,C80,C81,C110,C113,C119,C120,C121,C122,C124,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C140,C144,C162,C168,C171,C173,C199",C_0402
33 pF,"C34,C35,C36,C37,C67,C109,C125",C_0201
100 pF,"C44,C70,C112",C_0201
2.2 nF,C45,C_0201
68 pF,C47,C_0201
0.7 pF,"C51,C61,C101,C103,C198",C_0201
1.8 pF,"C54,C56",C_0201
1.6 pF,"C91,C96",C_0201
22 pF,"C99,C102,C115",C_0201
4.3 pF,"C104,C111",C_0201
10 uF,"C105,C117,C126,C127,C145,C146,C154,C163,C165,C166,C167,C169,C170,C172,C175,C181,C182,C184,C186,C197,C200,C201,C204",C_0805
0.3 pF,"C114,C188,C209",C_0201
47 pF,C116,C_0201
18 pF,"C118,C157,C158,C164",C_0402
22 uF,"C143,C147",C_0805
100 nF,"C153,C155,C180",C_0402
PESD5V0H1BSFYL,D1,TSSLP-2-1
"XL-3210UGC,XL-3210UOC","D2,D5",LED_Single_Xinglight_XL-3210_Horizontal
"ESD8D12V,SLESD0301L","D3,D9,D18",TSLP-2-19
"XL-3210SURSYGC,XL-3210SURUBC","D4,D6,D7,D8",LED_Dual_Xinglight_XL-3210_Horizontal
PMEG4010ESBYL,D10,TSLP-2-19
"BZX884-B6V2,315",D11,TSLP-2-19
U1D,D12,D_SOD-123FL
0,D13,TSLP-2-19
BAR9002ELE6327XTMA1,D14,TSLP-2-19
"JDH2S02SL,L3F",D15,TSSLP-2-1
"BZX884-B5V6,315","D16,D17",TSLP-2-19
HCB1608KF-102T10,"FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8",L_0603
DLM0NSB280HY2D,FL1,L_CommonModeChoke_Murata_DLM0NS
BPF1608LM02R2400A,"FL2,FL3",Filter_Pulse_BPF1608LM09R5000A
USB-TYPE-C-019,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12
MLZ2012N101LT000,"L2,L4,L5,L21,L22,L23,L24,L26,L27,L29,L33",L_TDK_MLZ2012_h1.25mm
LQP03TN56NJ02D,"L3,L12,L30,L31,L32",L_0201
LQP03TN5N6H02D,"L6,L14",L_0201
LQP03TN4N7H02D,"L8,L15",L_0201
LQP03TN10NJ02D,L9,L_0201
LSXND4040TKL4R7MDG,"L10,L11",L_Taiyo-Yuden_NR-40xx
LSQPB160807T2R2M,L13,L_0603
LQP03HQ1N8W02D,"L16,L17",L_0201
LQP03HQ1N6W02D,L18,L_0201
LSQEA251818T470M,L19,L_Taiyo-Yuden_A251818
LQP03TN18NJ02D,L28,L_0201
LQP03TN33NJ02D,L34,L_0201
A-SMA-KE-16.5A,"P1,P2,P3",SMA_MyAntenna_A-SMA-KE-16.5A_EdgeMount
HEADER_2x11,"P20,P28",PinSocket_2x11_P2.54mm
HEADER_2x13,P22,PinSocket_2x13_P2.54mm
DMC2400UV-7,Q1,SOT-563
YJL3401A,"Q3,Q4,Q5,Q6",SOT-23-3
BC847BS,"Q7,Q10",SOT-363_SC-70-6
BC857BS,Q9,SOT-363_SC-70-6
470,"R1,R2,R72,R115,R116,R117,R132,R137",R_0201
22.6k,"R3,R11,R18,R61",R_0201
51k,R4,R_0201
10k,"R5,R7,R36,R37,R40,R44,R48,R49,R50,R52,R59,R62,R63,R64,R66,R67,R68,R75,R85,R93,R100,R104,R105,R113,R120",R_0402
100,"R6,R21,R29,R127,R140,R141,R143,R145,R148",R_0201
0,"R8,R9,R10,R13,R149,R150",R_0201
33,"R12,R19,R23,R30,R31,R32,R34,R41,R84,R108,R139,R142",R_0201
180k,"R20,R38,R46,R47,R55",R_0402
33k,"R22,R57,R81,R83,R86,R87",R_0201
1k,"R24,R35,R94,R96,R98,R114,R129,R133,R138,R144,R151,R153,R154",R_0201
750,R25,R_0201
1.2k,R26,R_0201
1.8k,"R27,R28,R45,R53",R_0402
10,"R33,R123,R155",R_0201
37.4k,R39,R_0402
220,"R42,R43,R124,R128,R130,R131,R136,R146,R147",R_0201
4.7k,"R51,R54,R74,R76,R92,R95,R97,R99,R103,R106,R107,R109,R122,R126",R_0201
820k,"R56,R58,R70",R_0402
5.1k,"R60,R71,R79,R80",R_0402
18k,"R65,R82",R_0402
12k,"R69,R121,R125,R135",R_0201
3k,R73,R_0402
2.2k,"R77,R78",R_0201
18.7k,"R88,R89,R90,R91",R_0402
100k,R101,R_0402
330,"R102,R110,R111,R112,R156,R157",R_0201
180,R134,R_0201
3,R152,R_0201
100,"RN1,RN2,RN3,RN4,RN5,RN6,RN7,RN8",R_Array_Convex_4x0402
FSMRA3JH,"SW1,SW2",FSMRA3JH
B0310J50100AHF,"T1,T2",T_0805
TFSZ06052460-3310A2X,"T3,T4",TFSZ06052460-3310A2X
MXD8546F,"U1,U2",QFN-12
GT4227QA,"U3,U8,U34,U35",UQFN-10
RFFC5072,U4,QFN-32
FM8625H,"U5,U6,U7",TSLP-6-4_1.1x0.7mm_P0.4mm
MXD8638C,"U9,U12,U14",MXD8638C
74LVC1G86,"U10,U11,U13,U36",SOT-353_SC-70-5
TPAZ1143-04F,U15,Diodes_UDFN-10_1.0x2.5mm_P0.5mm
ICE40UP5K-SG48,U16,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias
MAX2831ETM,U17,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias
MAX5865ETM,U18,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm_ThermalVias
SI5351C-B-GM,U19,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias
W25Q32JVSSIQ,U20,SOIC-8_5.3x5.3mm_P1.27mm
TPS62410DRCR,U21,Texas_S-PVSON-N10_ThermalVias
XC6206P252MR,"U22,U32",SOT-23-3
LPC4330FET180,U23,TFBGA-180_12x12mm_Layout14x14_P0.8mm
AP22652,"U24,U28",TSOP-6_1.65x3.05mm_P0.95mm
TRF37C73,U25,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm
74HC00,U26,DHVQFN-14-1EP_2.5x3mm_P0.5mm_EP1x1.5mm
74LVC1G32,U27,SOT-353_SC-70-5
74LVC1G3157,"U30,U31,U37",SOT-363_SC-70-6
74HC4051,U33,DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm
BGB741L7ESD,"U38,U40",TSLP-7-1
74LVC1G08,U39,SOT-353_SC-70-5
8122S-25.000NQ33FTL,X1,Oscillator_SMD_SeikoEpson_TG2520SMN-xxx-xxxxxx-4Pin_2.5x2.0mm
SX3B12.000F1210F30,X2,Crystal_SMD_3225-4Pin_3.2x2.5mm
XKXGI-SUA-32.768K,X3,Crystal_SMD_3215-2Pin_3.2x1.5mm
