Designator,MIDX,MIDY,Layer,Rotation
C1,83.4,-146,top,-90
C2,73.95,-168.8,top,90
C3,84.6,-146,top,-90
C4,78.35,-155.05,top,180
C5,84.2,-138.4,top,90
C6,83.35,-168.3,top,90
C7,94.65,-141.8,top,90
C8,89.75,-149.35,top,0
C9,86.85,-149.35,top,0
C10,89.8,-152.8,top,0
C11,89.8,-151.7,top,180
C12,81.7,-138.7,top,180
C13,80.6,-137.6,top,90
C14,83.1,-138.7,top,0
C15,82.8,-137.6,top,90
C16,94.65,-144.6,top,90
C17,93.7,-151.449999,top,-90
C18,95.8,-164.8,top,90
C19,88.4,-160.8,top,180
C20,95.9,-151.449999,top,90
C21,94.8,-164.8,top,-90
C22,77.836764,-109.4975,top,0
C23,72.900092,-112.8575,top,-90
C24,107.175,-168.275,top,0
C25,87.7,-147.2,top,0
C26,83.624365,-171.325,top,90
C27,91.624365,-171.325,top,90
C28,87.7,-148.1,top,0
C29,88.4,-159.75,top,180
C30,87.624365,-171.325,top,90
C31,87.2,-162.4,top,180
C32,157.109341,-123.3468,top,90
C33,157.109341,-130.0143,top,-90
C34,89.7,-138,top,90
C35,88.8,-138,top,90
C36,87.9,-138,top,90
C37,87,-138.4,top,90
C39,128.021919,-163.351347,top,180
C40,123.553559,-162.633456,top,-90
C41,90.15,-146.85,top,180
C42,91.45,-138.5,top,90
C43,125.964575,-162.633456,top,-90
C44,106.45,-165.65,top,90
C45,108.2,-166,top,180
C46,93.65,-142.85,top,90
C47,109.15,-159.8,top,180
C48,109.15,-162.65,top,0
C49,92.35,-141.4,top,180
C50,83.1,-163.25,top,0
C51,89.2,-154.8,top,90
C52,79.35,-163.85,top,0
C53,77.25,-168.5,top,180
C54,90.95,-155.85,top,0
C55,81.25,-162.05,top,0
C56,89.9,-157.6,top,-90
C57,81.25,-161,top,0
C58,76.45,-162.9,top,0
C59,81.7,-158,top,180
C60,81.25,-159.95,top,180
C61,87.8,-156.9,top,90
C62,75.6,-158,top,-90
C63,77.45,-160.8,top,180
C64,71.45,-160.9,top,180
C65,77.45,-159.75,top,180
C66,77.45,-161.85,top,0
C67,80.7,-142.15,top,90
C68,74.65,-160.9,top,180
C69,73.65,-162.25,top,-90
C70,81.05,-140.75,top,90
C71,105,-145,top,180
C72,115.4,-158.5,top,0
C73,108.1,-145,top,180
C74,109.8,-149,top,180
C75,110.1,-145,top,0
C76,109.8,-153.5,top,180
C77,106.4,-136,top,0
C78,80.6,-166.15,top,180
C79,102.9,-138.3,top,90
C80,66.4,-117.9,top,-90
C81,63.3,-136.8,top,180
C82,102.9,-140.45,top,90
C83,102.6,-142.1,top,180
C84,99.8,-158.3,top,-90
C85,99.45,-160.9,top,180
C86,101.55,-165.65,top,-90
C87,103.55,-165.65,top,-90
C88,105.05,-165.65,top,-90
C89,108.8,-163.7,top,90
C90,108.8,-160.95,top,90
C91,85.35,-154.1,top,180
C92,105.95,-155.95,top,90
C93,105.15,-155.95,top,90
C94,102.15,-156.3,top,180
C95,75.15,-165.4,top,180
C96,86.05,-156.2,top,0
C97,102.6,-143.61,top,180
C98,102.9,-144.7,top,-90
C99,99.45,-159.5,top,180
C100,103.9,-145.3,top,-90
C101,83.6,-154.45,top,-90
C102,99.45,-160.2,top,180
C103,83.95,-156.2,top,0
C104,99.45,-162,top,180
C105,88.561538,-115.01,top,180
C106,109.15,-159.1,top,0
C107,115.4,-153.5,top,180
C108,115.4,-149,top,180
C109,86.1,-138.4,top,90
C110,63.3,-141.3,top,180
C111,99.45,-162.7,top,180
C112,71,-162.9,top,180
C113,115.24895,-163.437128,top,90
C114,90.35,-142.7,top,90
C115,111,-161.75,top,180
C117,102.531183,-118.010986,top,180
C118,161.026788,-143.098232,top,0
C119,112.216372,-166.566034,top,180
C120,112.216372,-168.173378,top,180
C121,116,-171.741738,top,-90
C122,117.927856,-171.741738,top,-90
C123,111.9,-141,top,-90
C124,63.3,-145.9,top,180
C125,147.025,-115.325,top,-90
C126,143.225,-107.625,top,90
C127,142.645989,-111.2118,top,180
C128,147.935395,-132.645714,top,90
C129,157.835,-138.296409,top,0
C130,148.733342,-150.785932,top,-90
C131,139.341996,-144.3,top,180
C132,139.325,-139.175,top,180
C133,146.073519,-132.645714,top,90
C134,150.595218,-150.785932,top,-90
C135,157.835,-144.965607,top,0
C136,157.835,-146.566215,top,0
C137,157.835,-136.695802,top,0
C138,146.95,-150.725,top,-90
C140,65.800303,-132.410775,top,0
C141,113.3,-147.1,top,0
C142,111.75,-153.85,top,90
C143,158.028864,-118.8318,top,0
C144,157.301793,-159.36597,top,180
C145,156.6,-107.7,top,-90
C146,157.387911,-111.5293,top,180
C147,150.25838,-118.7468,top,-90
C148,118.025183,-123.598986,top,-90
C149,119.549183,-121.058986,top,0
C150,112.691183,-112.676986,top,90
C151,169.114,-120.151,top,90
C152,167.189,-120.951,top,180
C153,85.77415,-108.3882,top,-90
C154,89.44392,-111.75,top,90
C155,129.629263,-172.191738,top,0
C156,107.7,-147.1,top,0
C157,152.457094,-128.110659,top,90
C158,150.329235,-128.110659,top,90
C159,106.15,-153.85,top,90
C160,76.3,-153.8,top,90
C161,79.55,-158.25,top,180
C162,63.3,-132.1,top,180
C163,79.267717,-106.755,top,180
C164,161.026788,-140.69732,top,0
C165,138.456927,-106.3393,top,90
C166,94.947745,-105.8918,top,180
C167,98.073464,-110.5693,top,-90
C168,130.165044,-170.048613,top,0
