capacitor,bypassed_component,bypassed_pin,capacitance
C1,U17,1,1000
C2,U17,1,1000
C3,U18,2,1000
C3,U18,8,1000
C3,U18,11,1000
C3,U18,33,1000
C3,U18,39,1000
C3,U18,43,1000
C5,U38,1,1000
C7,U6,4,1000
C8,U5,4,1000
C10,U1,1,1000
C17,U7,4,1000
C21,U10,5,1000
C24,U27,5,1000
C26,U11,5,1000
C27,U12,7,1000
C30,U14,7,1000
C31,U1,1,1000
C32,U28,6,1000
C33,U20,8,1000
C36,U23,L7,0.033
C37,U4,32,0.033
C39,U33,16,1000
C40,U33,16,1000
C41,U39,5,1000
C42,U40,1,1000
C43,U33,16,1000
C45,R26,1,2.2
C48,U17,7,1000
C49,T2,2,1000
C52,U17,13,1000
C60,U12,7,1000
C66,U12,7,1000
C71,U34,9,1000
C72,U17,17,1000
C73,U8,9,1000
C75,U35,9,1000
C77,U3,9,1000
C79,U36,1,1000
C79,U36,5,1000
C80,R125,2,1000
C81,SW1,2,1000
C82,U13,1,1000
C82,U13,5,1000
C84,U25,1,1000
C85,U17,7,1000
C86,U17,13,1000
C87,U17,17,1000
C88,U17,20,1000
C89,U17,25,1000
C90,U17,27,1000
C92,U17,30,1000
C93,U17,39,1000
C94,U17,41,1000
C95,U12,7,1000
C109,U4,1,0.033
C110,R72,2,1000
C113,U19,10,1000
C117,U16,5,10000
C117,U16,30,10000
C119,U19,11,1000
C120,U19,14,1000
C121,U19,18,1000
C122,U19,20,1000
C123,U16,1,1000
C124,R74,2,1000
C128,U20,8,1000
C129,U31,5,1000
C130,U33,16,1000
C131,U30,5,1000
C132,U20,8,1000
C133,U20,8,1000
C134,U20,8,1000
C135,U20,8,1000
C136,U23,B9,1000
C137,U20,8,1000
C138,U20,8,1000
C140,U18,18,1000
C141,U17,27,1000
C142,U17,20,1000
C144,U20,8,1000
C147,U21,3.1,22000
C147,U21,3.2,22000
C148,U16,33,1000
C149,U16,22,1000
C150,U16,33,1000
C156,U17,30,1000
C159,U17,1,1000
C161,U17,46,1000
C162,U17,46,1000
C168,U19,11,1000
C169,U20,8,10000
C174,U16,1,1000
C178,U16,5,1000
C179,U16,30,1000
C183,U16,1,1000
C185,U16,22,1000
C186,U18,18,10000
C187,U18,18,1000
C193,U17,39,1000
C196,U16,5,1000
C197,U22,3,10000
C199,U19,10,1000
C200,U17,20,10000
C200,U17,25,10000
C200,U17,27,10000
C200,U17,30,10000
C201,U17,7,10000
C201,U17,13,10000
C201,U17,17,10000
C204,U17,1,10000
C204,U17,39,10000
C204,U17,41,10000
C204,U17,46,10000
C205,U16,30,1000
C206,U17,41,1000
C212,U17,25,1000
C4,U25,5,3.3
C6,U13,2,3.3
C9,U6,6,3.3
C11,U1,3,3.3
C12,R1,2,0.33
C13,R2,2,0.33
C16,U5,6,3.3
C18,U2,3,3.3
C19,U9,8,3.3
C20,U7,6,3.3
C22,U32,3,1000
C23,U32,2,1000
C25,T1,2,1000
C29,U9,1,3.3
C34,U4,29,0.033
C35,U4,30,0.033
C44,U17,24,0.1
C47,U17,32,0.068
C51,U1,11,0.0007
C53,U40,2,1000
C54,L8,1,0.0018
C55,U12,1,3.3
C56,L14,1,0.0018
C57,U12,8,3.3
C61,U9,2,0.0007
C63,U14,8,3.3
C65,U14,1,3.3
C69,R29,1,1000
C70,C67,2,0.1
C83,U18,46,1000
C97,U18,47,1000
C98,U18,48,1000
C100,U18,1,1000
C105,FB3,2,10000
C106,U17,33,1000
C116,U17,28,0.047
C118,X3,2,0.018
C126,C125,1,10000
C127,C125,1,10000
C143,D11,1,22000
C145,L11,1,10000
C146,R56,1,10000
C151,U15,2,0.33
C152,U15,1,0.33
C154,FB3,2,10000
C157,X2,1,0.018
C158,X2,3,0.018
C160,R128,2,1000
C163,R11,1,10000
C164,X3,1,0.018
C165,R61,1,10000
C166,FB2,1,10000
C167,FB2,2,10000
C170,FB5,2,10000
C171,D10,2,1000
C172,FB7,1,10000
C173,U22,3,1000
C175,U22,2,10000
C176,U16,29,1000
C177,U16,24,1000
C181,FB4,2,10000
C182,FB4,2,10000
C184,FB7,2,10000
C188,R155,2,0.0003
C190,R132,2,1000
C194,U38,2,1000
C208,R117,2,1000
C209,U12,3,0.0003
