placement_region,component
MAIN_VRM,C125
MAIN_VRM,C126
MAIN_VRM,C127
MAIN_VRM,C143
MAIN_VRM,C145
MAIN_VRM,C146
MAIN_VRM,C147
MAIN_VRM,D11
MAIN_VRM,D12
MAIN_VRM,D13
MAIN_VRM,FB1
MAIN_VRM,L10
MAIN_VRM,L11
MAIN_VRM,Q4
MAIN_VRM,Q5
MAIN_VRM,R22
MAIN_VRM,R46
MAIN_VRM,R47
MAIN_VRM,R51
MAIN_VRM,R52
MAIN_VRM,R54
MAIN_VRM,R55
MAIN_VRM,R56
MAIN_VRM,U21
POWER_IN,D12
POWER_IN,D13
POWER_IN,D16
POWER_IN,D17
POWER_IN,Q4
POWER_IN,Q5
POWER_IN,Q9
POWER_IN,Q10
POWER_IN,R22
POWER_IN,R57
POWER_IN,R58
POWER_IN,R70
POWER_IN,R77
POWER_IN,R78
POWER_IN,R79
POWER_IN,R80
POWER_IN,R81
POWER_IN,R83
POWER_IN,R86
POWER_IN,R87
POWER_IN,R88
POWER_IN,R89
POWER_IN,R90
POWER_IN,R91
VCC_AUX,C32
VCC_AUX,C33
VCC_AUX,R100
VCC_AUX,R101
VCC_AUX,U28
VCC_CLK,C166
VCC_CLK,C167
VCC_CLK,FB2
VCC_FPGA,C165
VCC_FPGA,C172
VCC_FPGA,C173
VCC_FPGA,C175
VCC_FPGA,C180
VCC_FPGA,C181
VCC_FPGA,C182
VCC_FPGA,C184
VCC_FPGA,FB4
VCC_FPGA,FB7
VCC_FPGA,Q6
VCC_FPGA,Q7
VCC_FPGA,R53
VCC_FPGA,R61
VCC_FPGA,R71
VCC_FPGA,U22
VCC_LED,C169
VCC_LED,C170
VCC_LED,FB5
VCC_RF,C22
VCC_RF,C23
VCC_RF,C105
VCC_RF,C153
VCC_RF,C154
VCC_RF,C163
VCC_RF,FB3
VCC_RF,Q3
VCC_RF,R11
VCC_RF,R60
VCC_RF,U32
